Batch ID
20260411_145042

Benchmark ID
bitgn/pac1-prod

Mode
leaderboard

Workers
30

Run ID
run-22HnChLFtivZfhDwtpHNEQEVy

Total Tasks
103

Pending Tasks
(none)

Running Tasks
(none)

Finished Tasks
t021 | score=0.00 | details=(none)
t031 | score=0.00 | details=(none)
t026 | score=0.00 | details=(none)
t019 | score=0.00 | details=(none)
t025 | score=0.00 | details=(none)
t009 | score=0.00 | details=(none)
t002 | score=0.00 | details=(none)
t027 | score=0.00 | details=(none)
t036 | score=0.00 | details=(none)
t024 | score=0.00 | details=(none)
t001 | score=0.00 | details=(none)
t023 | score=0.00 | details=(none)
t003 | score=0.00 | details=(none)
t004 | score=0.00 | details=(none)
t029 | score=0.00 | details=(none)
t043 | score=0.00 | details=(none)
t034 | score=0.00 | details=(none)
t008 | score=0.00 | details=(none)
t006 | score=0.00 | details=(none)
t028 | score=0.00 | details=(none)
t032 | score=0.00 | details=(none)
t013 | score=0.00 | details=(none)
t033 | score=0.00 | details=(none)
t012 | score=0.00 | details=(none)
t007 | score=0.00 | details=(none)
t016 | score=0.00 | details=(none)
t048 | score=0.00 | details=(none)
t014 | score=0.00 | details=(none)
t057 | score=0.00 | details=(none)
t020 | score=0.00 | details=(none)
t038 | score=0.00 | details=(none)
t050 | score=0.00 | details=(none)
t015 | score=0.00 | details=(none)
t018 | score=0.00 | details=(none)
t030 | score=0.00 | details=(none)
t063 | score=0.00 | details=(none)
t064 | score=0.00 | details=(none)
t054 | score=0.00 | details=(none)
t037 | score=0.00 | details=(none)
t053 | score=0.00 | details=(none)
t017 | score=0.00 | details=(none)
t069 | score=0.00 | details=(none)
t049 | score=0.00 | details=(none)
t039 | score=0.00 | details=(none)
t011 | score=0.00 | details=(none)
t073 | score=0.00 | details=(none)
t010 | score=0.00 | details=(none)
t022 | score=0.00 | details=(none)
t005 | score=0.00 | details=(none)
t044 | score=0.00 | details=(none)
t051 | score=0.00 | details=(none)
t056 | score=0.00 | details=(none)
t046 | score=0.00 | details=(none)
t081 | score=0.00 | details=(none)
t058 | score=0.00 | details=(none)
t052 | score=0.00 | details=(none)
t059 | score=0.00 | details=(none)
t040 | score=0.00 | details=(none)
t041 | score=0.00 | details=(none)
t035 | score=0.00 | details=(none)
t089 | score=0.00 | details=(none)
t077 | score=0.00 | details=(none)
t070 | score=0.00 | details=(none)
t045 | score=0.00 | details=(none)
t055 | score=0.00 | details=(none)
t062 | score=0.00 | details=(none)
t093 | score=0.00 | details=(none)
t084 | score=0.00 | details=(none)
t047 | score=0.00 | details=(none)
t078 | score=0.00 | details=(none)
t061 | score=0.00 | details=(none)
t079 | score=0.00 | details=(none)
t101 | score=0.00 | details=(none)
t067 | score=0.00 | details=(none)
t074 | score=0.00 | details=(none)
t042 | score=0.00 | details=(none)
t083 | score=0.00 | details=(none)
t068 | score=0.00 | details=(none)
t082 | score=0.00 | details=(none)
t076 | score=0.00 | details=(none)
t075 | score=0.00 | details=(none)
t102 | score=0.00 | details=(none)
t100 | score=0.00 | details=(none)
t065 | score=0.00 | details=(none)
t071 | score=0.00 | details=(none)
t098 | score=0.00 | details=(none)
t087 | score=0.00 | details=(none)
t066 | score=0.00 | details=(none)
t080 | score=0.00 | details=(none)
t099 | score=0.00 | details=(none)
t090 | score=0.00 | details=(none)
t088 | score=0.00 | details=(none)
t103 | score=0.00 | details=(none)
t072 | score=0.00 | details=(none)
t095 | score=0.00 | details=(none)
t086 | score=0.00 | details=(none)
t060 | score=0.00 | details=(none)
t091 | score=0.00 | details=(none)
t097 | score=0.00 | details=(none)
t085 | score=0.00 | details=(none)
t096 | score=0.00 | details=(none)
t092 | score=0.00 | details=(none)
t094 | score=0.00 | details=(none)
